bin.function,cov-day3-b1,cov-day3-b2,cov-day3-b5,cov-day6-b7,cov-day6-b8,cov-day6-b9,cov-day9-b11,cov-day9-b12,cov-day9-b14,cov-day12-b16,cov-day12-b17,cov-day12-b19,cov-day19-b28,cov-day19-b32,cov-day19-b33,unnorm-day3-b1,unnorm-day3-b2,unnorm-day3-b5,unnorm-day6-b7,unnorm-day6-b8,unnorm-day6-b9,unnorm-day9-b11,unnorm-day9-b12,unnorm-day9-b14,unnorm-day12-b16,unnorm-day12-b17,unnorm-day12-b19,unnorm-day19-b28,unnorm-day19-b32,unnorm-day19-b33,unnorm-LG1,unnorm-LG2,unnorm-LG3,functional-category,protein.annotation,Accession,Taxa
11-Bacillariophyta_bin5--,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,0.9535,2.2645,0,1.4305,1.3134,0,1.185,0.5607,0,2.0901,1.0227,0,0.8108,0.6784,0,1.8302,0.9556,0,-,kegg:translation_elongation_factor_Ts_uniprot:A0A023HB48_9STRA_Multifunctional_fusion_protein_(TrEMBL)_pfam:EF_TS,Bacillariophyta_bin5_NODE_596_length_45968_cov_13.158_46,Bacillariophyta_bin5
12-Bacillariophyta_bin5-photosystem,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,1.5657,2.7152,0.97621572,1.3522,1.8238,1.26593852,1.3619,0.8481,1.111688972,1.9461,0.793,0.733063519,0.9614,0.745,0.617048621,0.9862,0.6664,0.638280153,photosystem,kegg:predicted_protein_uniprot:PSAC_PHATC_Photosystem_I_iron-sulfur_center_(SwissProt)_pfam:ETF_QO,Bacillariophyta_bin5_NODE_674_length_42137_cov_15.8666_2,Bacillariophyta_bin5
13-Bacillariophyta_bin5-photosystem,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,0.9901,1.2521,0,2.2082,0.7855,0,1.3405,0.819,0,1.7207,0.636,0,1.3908,0.9694,0,1.1929,0.7523,0,photosystem,kegg:Photosystem_II_protein_Y_(PsbY)_uniprot:A0A2H4MRS0_9STRA_Photosystem_II_protein_Y_(TrEMBL)_pfam:PsbY,Bacillariophyta_bin5_NODE_6802_length_7516_cov_3.14075_1,Bacillariophyta_bin5
14-Bacillariophyta_bin5-photosystem,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,1.0613,1.2822,0.670575678,0.7616,1.3951,1.310288072,1.6537,0.2853,0.9581002,1.9887,0.84,0.222611666,1.3476,0.4253,0.359756529,0.3578,0.2503,0.421903282,photosystem,kegg:psbK_photosystem_II_reaction_center_protein_K_uniprot:A0A023HCB0_9STRA_Photosystem_II_reaction_center_protein_K_(TrEMBL)_pfam:PsbK,Bacillariophyta_bin5_NODE_724_length_20860_cov_3.92495_23,Bacillariophyta_bin5
15-Bacillariophyta_bin5--,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,0.9806,1.0861,0.881325901,1.3968,0.9966,1.648158073,1.4918,0.5577,1.285882115,1.5836,0.9496,0.466064483,1.2124,0.6726,0.711455703,0.9015,1.44,1.309223294,-,kegg:RBL_ribulose-bisphosphate_carboxylase_large_subunit_or_chain_chloroplast_RuBisCo_uniprot:A0A161V909_9STRA_Ribulose_bisphosphate_carboxylase_large_chain_(Fragment)_(TrEMBL)_pfam:RuBisCO_large,Bacillariophyta_bin5_NODE_864_length_68806_cov_16.901950_15,Bacillariophyta_bin5
16-Bacillariophyta_bin5--,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,1.2348,2.0724,0,1.4088,1.6905,0,1.3471,0.8263,0,2.6215,1.2033,0,1.5895,0.5247,0,2.4568,0.5661,0,-,kegg:-_uniprot:A0A2H4MRL2_9STRA_Uncharacterized_protein_(TrEMBL)_pfam:SSB,Bacillariophyta_bin5_NODE_864_length_68806_cov_16.901950_36,Bacillariophyta_bin5
17-Bacillariophyta_bin5--,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,0.9516,2.2232,1.023689747,1.1803,1.2891,1.379426479,1.1576,0.4483,1.090036035,1.6613,0.8385,0.418650866,0.8524,0.5309,0.572748423,0.7828,0.4643,0.728173733,-,kegg:-_uniprot:A0A023HAM3_9STRA_Uncharacterized_protein_(TrEMBL)_pfam:YCF90,Bacillariophyta_bin5_NODE_864_length_68806_cov_16.901950_46,Bacillariophyta_bin5
18-Bacillariophyta_bin5-ribosomal-protein,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,0.8232,1.4083,0,0.9486,0.9553,0,1.1328,0.6539,0,2.3313,0.7514,0,0.9927,0.6101,0,0.7209,0.5878,0,ribosomal-protein,kegg:RR14_RR14_ribosomal_protein_14_30S_small_ribosomal_subunit_chloroplast_translation_protein_biosynthesis_uniprot:RR14_PHATC_30S_ribosomal_protein_S14_chloroplastic_(SwissProt)_pfam:BLOC1S3,Bacillariophyta_bin5_NODE_864_length_68806_cov_16.901950_62,Bacillariophyta_bin5
19-Bacillariophyta_bin5-photosystem,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,0.9837,1.9624,1.067703724,1.3347,1.4622,1.271791816,1.1375,0.5702,1.158325553,1.5533,1.112,0.595783055,1.0396,0.7867,0.692014456,1.0078,0.7111,0.937477648,photosystem,kegg:predicted_protein_uniprot:A0A023HCB3_9STRA_Photosystem_I_reaction_center_subunit_II_(TrEMBL)_pfam:PsaD,Bacillariophyta_bin5_NODE_9116_length_5178_cov_2.05029_2,Bacillariophyta_bin5
20-Bacillariophyta_bin5--,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,1.1511,2.196,1.460422873,0.9878,1.1844,1.236507893,1.0767,0.9651,0.692701578,2.1554,0.7898,0.531256199,0.9362,0.5148,0.515430152,1.1962,0.8207,0.856874406,-,kegg:-_uniprot:H2EV17_9STRA_Uncharacterized_protein_ycf90_(TrEMBL)_pfam:YCF90,Bacillariophyta_bin5_NODE_944_length_64770_cov_83.830871_59,Bacillariophyta_bin5
21-Bacillariophyta_bin5-photosystem,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,1.0171,1.9765,1.288325667,1.0894,1.4706,1.300648928,1.0205,0.6443,0.937962592,1.9711,0.9415,0.405484349,0.9301,0.6908,0.544749498,0.6335,0.6309,0.959631324,photosystem,kegg:psbF_photosystem_II_protein_VI_uniprot:A0A1D8DCL4_9STRA_Cytochrome_b559_subunit_beta_(TrEMBL)_pfam:Cytochrom_B559,Bacillariophyta_bin5_NODE_944_length_64770_cov_83.830871_62,Bacillariophyta_bin5
22-Bacillariophyta_bin5--,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,0.8115,1.6581,1.087590694,1.4166,1.3237,1.450724602,1.4427,0.4389,1.07742846,1.2675,0.6666,0.454590052,0.7671,0.5194,0.821889699,0.8336,0.6095,1.080981255,-,kegg:rbcS_ribulose_bisphosphate_carboxylase_small_chain_uniprot:H2EV69_9STRA_Ribulose-1_5-bisphosphate_carboxylase/oxygenase_small_subunit_(TrEMBL)_pfam:RuBisCO_small,Bacillariophyta_bin5_NODE_944_length_64770_cov_83.830871_7,Bacillariophyta_bin5
23-Bacillariophyta_bin5-ATP-synthase,1.870142728,2.876678978,0.739233249,0.363134017,0.591454122,0.975390567,2.024336005,0.866031014,2.461251176,1.038646578,0.464898271,0.244614465,0.503611146,0.335585824,0.266322456,0.9725,1.2224,0,1.5882,1.0279,0,1.4538,0.4042,0,2.194,0.9171,0,1.637,0.7965,0,1.7111,0.7126,0,ATP-synthase,kegg:atpA_ATP_synthase_alpha_chain_thylakoid_ATPase_plastid_protein_uniprot:A0A2H4MMQ0_9STRA_ATP_synthase_subunit_alpha_chloroplastic_(TrEMBL)_pfam:ATP-synt_ab,Bacillariophyta_bin5_NODE_9671_length_12862_cov_8.321476_9,Bacillariophyta_bin5
24-Bacillariophyta_bin7--,0.265903676,1.586405631,0.279571451,0.150590186,0.783381013,0.196217107,0.195796686,0.141532146,0.18000351,0.177720771,0.195579851,0.131879291,0.138734281,0.109988889,0.101032911,0.8891,1.4974,0.851258278,0.8757,1.4976,1.489573121,1.2981,0.3253,1.382660151,2.6435,1.0128,0.195846528,1.2048,0.4249,0.271359533,0.4145,0.2514,0.234280273,-,kegg:Lhcf10_protein_fucoxanthin_chlorophyll_a/c_protein_uniprot:B7G5B6_PHATC_Protein_fucoxanthin_chlorophyll_a/c_protein_(TrEMBL)_pfam:Chloroa_b-bind,Bacillariophyta_bin7_NODE_16705_length_8900_cov_2.682663_3,Bacillariophyta_bin7
25-Bacillariophyta_bin7--,0.265903676,1.586405631,0.279571451,0.150590186,0.783381013,0.196217107,0.195796686,0.141532146,0.18000351,0.177720771,0.195579851,0.131879291,0.138734281,0.109988889,0.101032911,1.2522,2.1077,1.36101985,1.0406,1.2932,1.408576846,0.9057,0.4312,0.728605866,1.8664,0.9186,0.477166384,0.9439,0.7697,0.98621124,0.8167,0.5577,1.424283862,-,kegg:-_uniprot:-_pfam:ArfGap,Bacillariophyta_bin7_NODE_19084_length_8126_cov_1.939867_3,Bacillariophyta_bin7
26-Bacillariophyta_bin7--,0.265903676,1.586405631,0.279571451,0.150590186,0.783381013,0.196217107,0.195796686,0.141532146,0.18000351,0.177720771,0.195579851,0.131879291,0.138734281,0.109988889,0.101032911,0.9406,1.6198,0,1.485,1.109,0,1.3294,0.4594,0,1.9366,0.7964,0,1.3689,0.4698,0,0.6278,0.4286,0,-,kegg:-_uniprot:-_pfam:-,Bacillariophyta_bin7_NODE_24666_length_6856_cov_1.897310_4,Bacillariophyta_bin7
27-Bacillariophyta_bin7--,0.265903676,1.586405631,0.279571451,0.150590186,0.783381013,0.196217107,0.195796686,0.141532146,0.18000351,0.177720771,0.195579851,0.131879291,0.138734281,0.109988889,0.101032911,1.1208,2.008,2.074750185,0.9306,1.4007,1.293108702,0.8592,0.4222,0.793250382,1.9041,0.8341,0.319476455,1.0654,0.5379,0.470636934,0.7425,0.4914,0.465035737,-,kegg:-_uniprot:-_pfam:-,Bacillariophyta_bin7_NODE_30951_length_5896_cov_2.701508_3,Bacillariophyta_bin7
28-Bacillariophyta_bin7--,0.265903676,1.586405631,0.279571451,0.150590186,0.783381013,0.196217107,0.195796686,0.141532146,0.18000351,0.177720771,0.195579851,0.131879291,0.138734281,0.109988889,0.101032911,0.834,1.5653,1.963363528,0.8575,1.242,0.939063728,1.0173,0.4388,0.584465504,1.437,0.8026,0.386021495,0.9095,0.6537,0.508889198,0.6511,0.4716,0.655524909,-,kegg:hypothetical_protein_uniprot:B7G0C3_PHATC_Tubulin_alpha_chain_(TrEMBL)_pfam:Tubulin,Bacillariophyta_bin7_NODE_50644_length_4216_cov_2.277819_4,Bacillariophyta_bin7
29-Bacillariophyta_bin7--,0.265903676,1.586405631,0.279571451,0.150590186,0.783381013,0.196217107,0.195796686,0.141532146,0.18000351,0.177720771,0.195579851,0.131879291,0.138734281,0.109988889,0.101032911,1.0064,2.4286,1.122179031,1.3162,1.5369,1.167278051,1.0952,0.6299,0.85801816,1.8813,0.933,0.348679662,1.0866,0.9868,0.661703229,0.7754,0.6327,0.660881281,-,kegg:-_uniprot:-_pfam:Abhydrolase_1,Bacillariophyta_bin7_NODE_61462_length_3697_cov_1.689636_3,Bacillariophyta_bin7
30-Bacillariophyta_bin7--,0.265903676,1.586405631,0.279571451,0.150590186,0.783381013,0.196217107,0.195796686,0.141532146,0.18000351,0.177720771,0.195579851,0.131879291,0.138734281,0.109988889,0.101032911,1.4289,2.5247,1.404432178,1.1722,1.5877,1.665558457,1.1911,0.6074,1.047195792,1.6898,0.7764,0.311096519,0.8738,0.5001,0.37890929,0.7474,0.3038,0.486873657,-,kegg:Lhcf11_protein_fucoxanthin_chlorophyll_a/c_protein_uniprot:A0A1Z5KCV1_FISSO_Uncharacterized_protein_(TrEMBL)_pfam:Chloroa_b-bind,Bacillariophyta_bin7_NODE_74063_length_3252_cov_2.137280_3,Bacillariophyta_bin7
31-Bacillariophyta_bin9--,0.331781715,0.914910419,0.315290893,0.253616055,0.189846389,0.41151596,1.043228434,0.163396979,1.234315025,0.384222138,0.14381904,0.092037324,0.10861153,0.081290157,0.119419208,1.1058,1.3058,0,1.2876,1.1928,0,1.462,0.7635,0,2.015,0.9027,0,0.8488,0.6766,0,1.6919,0.7485,0,-,kegg:-_uniprot:-_pfam:RNA_pol_I_A49,Bacillariophyta_bin9_NODE_10861_length_11917_cov_4.887277_2,Bacillariophyta_bin9
32-Bacillariophyta_bin9--,0.331781715,0.914910419,0.315290893,0.253616055,0.189846389,0.41151596,1.043228434,0.163396979,1.234315025,0.384222138,0.14381904,0.092037324,0.10861153,0.081290157,0.119419208,0.8783,2.2399,1.180328012,1.9313,1.4261,2.012404442,1.1571,0.53,1.193959832,2.376,0.9399,0.365195274,0.6707,0.7954,0.525991917,0.9159,0.5068,0.871914327,-,kegg:-_uniprot:-_pfam:-,Bacillariophyta_bin9_NODE_11139_length_3939_cov_1.84837_3,Bacillariophyta_bin9
33-Bacillariophyta_bin9--,0.331781715,0.914910419,0.315290893,0.253616055,0.189846389,0.41151596,1.043228434,0.163396979,1.234315025,0.384222138,0.14381904,0.092037324,0.10861153,0.081290157,0.119419208,1.1048,2.388,1.183717847,1.5853,1.5005,1.796493888,0.996,0.6489,1.375802398,1.6851,0.9081,0.931471109,1.329,1.0463,0.702731371,1.5361,0.5589,2.128646612,-,kegg:hypothetical_protein_uniprot:B7G715_PHATC_Predicted_protein_(TrEMBL)_pfam:FoP_duplication,Bacillariophyta_bin9_NODE_32604_length_5690_cov_4.019953_3,Bacillariophyta_bin9
34-Bacillariophyta_bin9--,0.331781715,0.914910419,0.315290893,0.253616055,0.189846389,0.41151596,1.043228434,0.163396979,1.234315025,0.384222138,0.14381904,0.092037324,0.10861153,0.081290157,0.119419208,1.205,1.7863,1.318071723,1.7873,1.9684,1.805775046,1.0454,0.3899,1.079042077,1.6388,0.738,0.952265918,1.0068,0.5426,0.567436576,2.2909,0.6719,1.186802626,-,kegg:Lhcx3_protein_fucoxanthin_chlorophyll_a/c_protein_uniprot:B7FVF9_PHATC_Protein_fucoxanthin_chlorophyll_a/c_protein_(TrEMBL)_pfam:Chloroa_b-bind,Bacillariophyta_bin9_NODE_34132_length_5518_cov_3.386199_3,Bacillariophyta_bin9
35-Bacillariophyta_bin9--,0.331781715,0.914910419,0.315290893,0.253616055,0.189846389,0.41151596,1.043228434,0.163396979,1.234315025,0.384222138,0.14381904,0.092037324,0.10861153,0.081290157,0.119419208,0.9308,1.7209,1.226089597,1.9894,1.3634,1.019236088,1.111,0.5032,0.940231502,1.4096,0.8256,0.444121003,1.3853,0.4583,0.67900914,1.3578,0.4802,0.901795626,-,kegg:-_uniprot:-_pfam:-,Bacillariophyta_bin9_NODE_9223_length_4529_cov_1.97978_1,Bacillariophyta_bin9
36-Prok_bin1--,3.215999997,26.47650952,8.397488365,39.78400558,11.06204616,8.879362573,7.125556367,1.16219297,23.00808817,18.03916455,3.084508789,1.175121412,1.221938488,0.390151172,0.304825224,0.8224,2.1215,0,2.2099,1.0447,0,0.8526,0.4637,0,1.8511,0.7945,0,0.8858,0.5229,0,1.2816,1.482,0,-,kegg:-_uniprot:A0A059KR88_9BURK_Uncharacterized_protein_(TrEMBL)_pfam:Porin_8,Prok_bin1_NODE_3370_length_9311_cov_16.2872_4,Prok_bin1
37-Prok_bin1--,3.215999997,26.47650952,8.397488365,39.78400558,11.06204616,8.879362573,7.125556367,1.16219297,23.00808817,18.03916455,3.084508789,1.175121412,1.221938488,0.390151172,0.304825224,0.8434,2.169,0.846165419,2.1122,1.1751,0.990743458,0.9524,0.5099,1.084895849,1.8728,0.899,0.633379519,0.9506,0.7399,0.670831025,1.0641,0.8066,0.74027878,-,kegg:-_uniprot:A0A059KM43_9BURK_Uncharacterized_protein_(TrEMBL)_pfam:Porin_1,Prok_bin1_NODE_543_length_39904_cov_20.2546_36,Prok_bin1
38-Prok_bin1--,3.215999997,26.47650952,8.397488365,39.78400558,11.06204616,8.879362573,7.125556367,1.16219297,23.00808817,18.03916455,3.084508789,1.175121412,1.221938488,0.390151172,0.304825224,0.8012,1.7856,0,1.9288,1.2188,0,0.7642,0.5305,0,1.4413,0.7699,0,0.4698,0.878,0,0.7498,0.9142,0,-,kegg:-_uniprot:-_pfam:VPEP,Prok_bin1_NODE_655_length_33337_cov_11.3176_10,Prok_bin1
39-Prok_bin15--,0.186487625,0.298986092,2.012616149,0.204663014,0.726069279,0.554214852,0.434912257,0.077133419,0.399201022,0.205771216,0.277146153,0.092815678,0.123038372,0.066353526,0.074619575,0.4045,1.9843,0,0.3795,4.0261,0,0.2723,0.6542,0,2.1585,1.1805,0,0.4858,0.977,0,0.7076,0.5473,0,-,kegg:glycosylasparaginase_uniprot:I2GQZ4_9BACT_N(4)-(Beta-N-acetylglucosaminyl)-L-asparaginase_(TrEMBL)_pfam:Asparaginase_2,Prok_bin15_NODE_141609_length_2105_cov_2.719414_1,Prok_bin15
40-Prok_bin21--,5.904992015,1.573313933,15.99478442,2.578271385,7.162323655,10.35230822,7.987925958,2.682235202,0.83806947,4.539055982,11.50326578,2.070959463,1.581577065,2.648390333,0.52965909,1.2108,1.3455,1.468148351,1.8572,1.1022,1.434238076,1.5201,0.6579,0.721530676,1.8909,1.0705,0.672320485,1.219,0.8378,1.019884586,2.0333,1.8295,1.214773417,-,kegg:-_uniprot:-_pfam:CarboxypepD_reg,Prok_bin21_NODE_871_length_68360_cov_40.919672_32,Prok_bin21
41-Prok_bin22--,0.521566898,0.658923722,0.673551573,1.684789705,0.634621987,0.567252167,1.576449306,1.59742059,1.025649459,1.127717903,2.314649689,3.501461041,0.470852155,0.883387592,0.543958688,0.6742,2.3211,0.570513427,1.1239,0.804,1.210600019,0.6653,0.4794,0.546310723,3.3077,0.8004,0.542198002,1.0707,0.5913,0.635958493,1.8651,3.4167,9.044735909,-,kegg:malE_sugar_ABC_transporter_substrate-binding_protein_uniprot:A0A257FRD2_9BURK_Maltodextrin-binding_protein_(TrEMBL)_pfam:PBP_like_2,Prok_bin22_NODE_186_length_170454_cov_8.595425_85,Prok_bin22
42-Prok_bin23--,0.710333718,0.520702938,0.907139117,1.158989542,0.575040756,0.803761894,0.93261043,0.322430843,0.557982648,0.326252706,0.424716107,0.575045345,0.53870498,0.378902389,0.287199081,1.0658,1.9519,0.987529993,1.1083,1.6031,1.517897844,1.0486,0.9398,0.703673005,2.5937,0.9776,0.790219426,1.5399,0.6734,0.845728993,5.6343,7.0715,6.735262394,-,kegg:ATP-dependent_Clp_protease_proteolytic_subunit_uniprot:A0A0K1Q849_9DELT_ATP-dependent_Clp_protease_proteolytic_subunit_(TrEMBL)_pfam:CLP_protease,Prok_bin23_NODE_2855_length_30533_cov_4.058574_22,Prok_bin23
